filename,primary_category,secondary_categories,grade,aesthetic_score,copy_space,web_utility,orientation,flags,duplicate_of,extracted_text
63ea58_06eedfd87d84460090b9043427d91b8e_mv2.jpg,DUPLICATE,,DUPLICATE,,,,,,434656226_925516909265672_762420243898423708_n.jpg,
63ea58_32808937ebb345f981ea2e95dcce076f_mv2.jpg,DUPLICATE,,DUPLICATE,,,,,,318242765_652983026519063_8621874739409486823_n.jpg,
63ea58_40d9e2d5a595499299e87c0250d6be00_mv2.jpg,DUPLICATE,,DUPLICATE,,,,,,370272376_806628527821178_785102362055746487_n.jpg,
63ea58_9b339570c99a4f4a868bfe4eb4e7ac87_mv2.jpg,DUPLICATE,,DUPLICATE,,,,,,329135024_728465848927169_7349256201622578105_n.jpg,
google_13.jpg,DUPLICATE,,DUPLICATE,,,,,,63ea58_cdaed7addea446d98d964c15cfd3d19b_mv2.jpg,
google_4.jpg,DUPLICATE,,DUPLICATE,,,,,,google_22.jpg,
google_48.jpg,DUPLICATE,,DUPLICATE,,,,,,google_12.jpg,
google_9.jpg,DUPLICATE,,DUPLICATE,,,,,,256324338_399553248528710_2307040302124375704_n.jpg,
123_1.jpg,,,F,,,,,"LOW_RES (162x288), BLURRY (variance=31.7), VERTICAL_ORIENTATION",,
1d8c3f_ff7a70a4706f417a95fbcb8e9c41e881f000.jpg,,,F,,,,,"LOW_RES (100x56), BLURRY (variance=0.0), TOO_DARK (100% black)",,
256324338_399553248528710_2307040302124375704_n.jpg,,,F,,,,,"LOW_RES (144x108), BLURRY (variance=25.3)",,
318242765_652983026519063_8621874739409486823_n.jpg,,,F,,,,,"LOW_RES (147x196), BLURRY (variance=56.8), VERTICAL_ORIENTATION",,
329135024_728465848927169_7349256201622578105_n.jpg,,,F,,,,,"LOW_RES (147x196), BLURRY (variance=33.9), VERTICAL_ORIENTATION",,
352733743_762403475577017_5390223750347029943_n-r1417w1n1ftj7mati9xb5a6djf7394gdsj39n19hy8.jpg,,,F,,,,,"LOW_RES (130x130), BLURRY (variance=27.7)",,
370272376_806628527821178_785102362055746487_n.jpg,,,F,,,,,"LOW_RES (97x173), BLURRY (variance=25.9), VERTICAL_ORIENTATION",,
434656226_925516909265672_762420243898423708_n.jpg,,,F,,,,,"LOW_RES (147x261), BLURRY (variance=29.7), VERTICAL_ORIENTATION",,
63ea58_079737c1b28342579b97a935ef379ca2_mv2.jpg,action,completed-work,C,72,some,gallery,landscape,"VERTICAL_ORIENTATION, BACKGROUND_CLUTTER",,
63ea58_14d8f0fe93154efaac18c02c8410fd65_mv2.jpg,people-team,action,B,82,some,gallery,landscape,"PASS, FACES_PRESENT",,
